idx,episode_id,label,confidence,racket,source_csv,lateral_offset_m,lateral_velocity_window_mps,pre_to_hit_delta_m,score_forehand,score_backhand,reason
167,Table_Tennis_01_007_TennisBats02_58p91_60p91_Skeleton002,backhand,0.7500,TennisBats02,Csv/Rige Body/Table Tennis_01_007.csv,0.16443,0.46121,-0.00437,0.00,2.00,body_local_swing_backhand
204,Table_Tennis_01_008_TennisBats01_84p01_86p01_Skeleton001,backhand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_008.csv,0.65370,0.64485,0.08073,0.75,5.00,body_local_swing_backhand
210,Table_Tennis_01_008_TennisBats02_108p65_110p65_Skeleton002,unknown,0.3500,TennisBats02,Csv/Rige Body/Table Tennis_01_008.csv,-0.01757,0.60975,-0.01670,1.00,2.75,ambiguous_body_local_swing
220,Table_Tennis_01_008_TennisBats02_36p40_38p40_Skeleton002,unknown,0.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_008.csv,0.17656,0.24006,0.01072,0.00,1.00,weak_motion_evidence
227,Table_Tennis_01_008_TennisBats02_64p94_66p94_Skeleton002,unknown,0.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_008.csv,0.24533,0.22281,-0.01057,0.00,1.00,weak_motion_evidence
230,Table_Tennis_01_008_TennisBats02_7p43_9p43_Skeleton002,unknown,0.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_008.csv,0.15225,0.26988,0.00960,0.00,1.75,weak_motion_evidence
259,Table_Tennis_01_009_TennisBats01_134p62_136p62_Skeleton001,backhand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_009.csv,0.75780,1.26237,0.03909,0.75,5.00,body_local_swing_backhand
267,Table_Tennis_01_009_TennisBats01_19p53_21p53_Skeleton001,backhand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_009.csv,0.32624,0.68210,0.06950,0.75,6.00,body_local_swing_backhand
288,Table_Tennis_01_009_TennisBats01_69p91_71p91_Skeleton001,backhand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_009.csv,0.65781,0.41118,0.04050,0.75,4.00,body_local_swing_backhand
302,Table_Tennis_01_009_TennisBats02_105p58_107p58_Skeleton002,forehand,1.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_009.csv,0.50440,-1.44348,-0.05271,5.75,0.00,body_local_swing_forehand
312,Table_Tennis_01_009_TennisBats02_127p39_129p39_Skeleton002,backhand,0.7500,TennisBats02,Csv/Rige Body/Table Tennis_01_009.csv,0.20986,0.50600,0.00850,0.00,2.00,body_local_swing_backhand
320,Table_Tennis_01_009_TennisBats02_13p43_15p43_Skeleton002,backhand,0.7500,TennisBats02,Csv/Rige Body/Table Tennis_01_009.csv,0.16340,0.40427,0.00679,0.00,2.00,body_local_swing_backhand
329,Table_Tennis_01_009_TennisBats02_29p57_31p57_Skeleton002,backhand,0.7500,TennisBats02,Csv/Rige Body/Table Tennis_01_009.csv,0.19914,0.48659,0.00770,0.00,2.00,body_local_swing_backhand
346,Table_Tennis_01_009_TennisBats02_82p78_84p78_Skeleton002,forehand,1.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_009.csv,0.43069,-1.59083,-0.06509,6.75,0.00,body_local_swing_forehand
350,Table_Tennis_01_009_TennisBats02_93p32_95p32_Skeleton002,forehand,1.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_009.csv,0.41606,-1.29226,-0.07770,6.75,0.00,body_local_swing_forehand
356,Table_Tennis_01_004_TennisBats01_21p34_23p34_Skeleton001,unknown,0.0000,TennisBats01,Csv/Point/Table Tennis_01_004.csv,0.09239,0.22290,0.01038,0.00,1.75,weak_motion_evidence
386,Table_Tennis_01_004_TennisBats02_0p60_2p60_Skeleton002,forehand,1.0000,TennisBats02,Csv/Point/Table Tennis_01_004.csv,0.34461,-1.60735,-0.12524,6.75,0.00,body_local_swing_forehand
387,Table_Tennis_01_004_TennisBats02_100p80_102p80_Skeleton002,forehand,1.0000,TennisBats02,Csv/Point/Table Tennis_01_004.csv,0.40420,-2.20685,-0.14278,6.75,0.00,body_local_swing_forehand
388,Table_Tennis_01_004_TennisBats02_10p28_12p28_Skeleton002,forehand,1.0000,TennisBats02,Csv/Point/Table Tennis_01_004.csv,0.59289,-1.37597,-0.07204,6.75,0.00,body_local_swing_forehand
389,Table_Tennis_01_004_TennisBats02_15p98_17p98_Skeleton002,forehand,1.0000,TennisBats02,Csv/Point/Table Tennis_01_004.csv,0.35735,-3.19020,-0.14064,6.75,0.00,body_local_swing_forehand
391,Table_Tennis_01_004_TennisBats02_20p50_22p50_Skeleton002,forehand,1.0000,TennisBats02,Csv/Point/Table Tennis_01_004.csv,0.39195,-2.87061,-0.13625,6.75,0.00,body_local_swing_forehand
394,Table_Tennis_01_004_TennisBats02_2p04_4p04_Skeleton002,forehand,1.0000,TennisBats02,Csv/Point/Table Tennis_01_004.csv,0.33482,-1.88126,-0.13688,6.75,0.00,body_local_swing_forehand
395,Table_Tennis_01_004_TennisBats02_35p36_37p36_Skeleton002,forehand,1.0000,TennisBats02,Csv/Point/Table Tennis_01_004.csv,0.40015,-2.78285,-0.11545,6.75,0.00,body_local_swing_forehand
397,Table_Tennis_01_004_TennisBats02_38p36_40p36_Skeleton002,forehand,1.0000,TennisBats02,Csv/Point/Table Tennis_01_004.csv,0.59674,-1.09667,-0.09978,6.75,0.00,body_local_swing_forehand
398,Table_Tennis_01_004_TennisBats02_3p39_5p39_Skeleton002,forehand,1.0000,TennisBats02,Csv/Point/Table Tennis_01_004.csv,0.47951,-1.71734,-0.12190,6.75,0.00,body_local_swing_forehand
399,Table_Tennis_01_004_TennisBats02_47p32_49p32_Skeleton002,forehand,1.0000,TennisBats02,Csv/Point/Table Tennis_01_004.csv,0.28195,-2.08537,-0.14610,6.00,0.00,body_local_swing_forehand
400,Table_Tennis_01_004_TennisBats02_48p62_50p62_Skeleton002,forehand,1.0000,TennisBats02,Csv/Point/Table Tennis_01_004.csv,0.35955,-2.21733,-0.14320,6.75,0.00,body_local_swing_forehand
401,Table_Tennis_01_004_TennisBats02_50p92_52p92_Skeleton002,forehand,1.0000,TennisBats02,Csv/Point/Table Tennis_01_004.csv,0.44618,-1.27251,-0.07829,6.75,0.00,body_local_swing_forehand
402,Table_Tennis_01_004_TennisBats02_52p15_54p15_Skeleton002,forehand,1.0000,TennisBats02,Csv/Point/Table Tennis_01_004.csv,0.23972,-2.29602,-0.18250,6.00,0.00,body_local_swing_forehand
403,Table_Tennis_01_004_TennisBats02_61p92_63p92_Skeleton002,forehand,1.0000,TennisBats02,Csv/Point/Table Tennis_01_004.csv,0.35738,-3.20724,-0.16922,6.75,0.00,body_local_swing_forehand
405,Table_Tennis_01_004_TennisBats02_65p26_67p26_Skeleton002,forehand,0.9000,TennisBats02,Csv/Point/Table Tennis_01_004.csv,0.49573,-0.34410,-0.00762,2.75,0.00,body_local_swing_forehand
406,Table_Tennis_01_004_TennisBats02_67p69_69p69_Skeleton002,forehand,1.0000,TennisBats02,Csv/Point/Table Tennis_01_004.csv,0.38973,-3.06434,-0.14829,6.75,0.00,body_local_swing_forehand
407,Table_Tennis_01_004_TennisBats02_69p21_71p21_Skeleton002,forehand,1.0000,TennisBats02,Csv/Point/Table Tennis_01_004.csv,0.37657,-2.08107,-0.14724,6.75,0.00,body_local_swing_forehand
408,Table_Tennis_01_004_TennisBats02_70p49_72p49_Skeleton002,forehand,1.0000,TennisBats02,Csv/Point/Table Tennis_01_004.csv,0.39896,-1.94453,-0.14219,6.75,0.00,body_local_swing_forehand
409,Table_Tennis_01_004_TennisBats02_71p74_73p74_Skeleton002,forehand,1.0000,TennisBats02,Csv/Point/Table Tennis_01_004.csv,0.54784,-1.51021,-0.09922,6.75,0.00,body_local_swing_forehand
410,Table_Tennis_01_004_TennisBats02_72p98_74p98_Skeleton002,forehand,1.0000,TennisBats02,Csv/Point/Table Tennis_01_004.csv,0.47080,-1.21071,-0.08889,6.75,0.00,body_local_swing_forehand
442,Table_Tennis_01_012_TennisBats02_127p63_129p63_Skeleton002,unknown,0.0000,TennisBats02,Csv/Point/Table Tennis_01_012.csv,0.01046,0.26268,0.00695,0.00,1.75,weak_motion_evidence
459,Table_Tennis_01_012_TennisBats02_49p80_51p80_Skeleton002,backhand,0.7500,TennisBats02,Csv/Point/Table Tennis_01_012.csv,0.18567,0.33315,0.00975,0.00,2.00,body_local_swing_backhand
462,Table_Tennis_01_012_TennisBats02_53p47_55p47_Skeleton002,unknown,0.0000,TennisBats02,Csv/Point/Table Tennis_01_012.csv,0.05716,0.26711,0.00170,0.00,1.75,weak_motion_evidence
548,Table_Tennis_01_013_TennisBats02_119p81_121p81_Skeleton002,unknown,0.2000,TennisBats02,Csv/Point/Table Tennis_01_013.csv,0.21833,0.35850,-0.01821,1.00,2.00,ambiguous_body_local_swing
559,Table_Tennis_01_013_TennisBats02_142p89_144p89_Skeleton002,backhand,0.7500,TennisBats02,Csv/Point/Table Tennis_01_013.csv,0.19365,0.36383,0.00229,0.00,2.00,body_local_swing_backhand
568,Table_Tennis_01_013_TennisBats02_157p85_159p85_Skeleton002,backhand,0.7500,TennisBats02,Csv/Point/Table Tennis_01_013.csv,0.21428,0.38485,-0.00543,0.00,2.00,body_local_swing_backhand
573,Table_Tennis_01_013_TennisBats02_164p00_166p00_Skeleton002,backhand,0.7500,TennisBats02,Csv/Point/Table Tennis_01_013.csv,0.17232,0.43423,0.00573,0.00,2.00,body_local_swing_backhand
591,Table_Tennis_01_013_TennisBats02_43p62_45p62_Skeleton002,unknown,0.0000,TennisBats02,Csv/Point/Table Tennis_01_013.csv,0.13005,0.22783,0.00664,0.00,1.75,weak_motion_evidence
604,Table_Tennis_01_013_TennisBats02_74p92_76p92_Skeleton002,unknown,0.0000,TennisBats02,Csv/Point/Table Tennis_01_013.csv,0.19701,0.25207,0.00483,0.00,1.00,weak_motion_evidence
606,Table_Tennis_01_013_TennisBats02_77p43_79p43_Skeleton002,backhand,0.7500,TennisBats02,Csv/Point/Table Tennis_01_013.csv,0.16912,0.27436,0.01419,0.00,2.00,body_local_swing_backhand
616,Table_Tennis_01_013_TennisBats02_91p53_93p53_Skeleton002,unknown,0.0000,TennisBats02,Csv/Point/Table Tennis_01_013.csv,0.23623,0.29343,-0.00299,0.00,1.00,weak_motion_evidence
720,Table_Tennis_01_014_TennisBats02_136p48_138p48_Skeleton002,unknown,0.0000,TennisBats02,Csv/Point/Table Tennis_01_014.csv,0.17598,0.23346,0.00698,0.00,1.00,weak_motion_evidence
723,Table_Tennis_01_014_TennisBats02_150p94_152p94_Skeleton002,unknown,0.0000,TennisBats02,Csv/Point/Table Tennis_01_014.csv,0.19299,0.22354,0.00827,0.00,1.00,weak_motion_evidence
733,Table_Tennis_01_014_TennisBats02_173p26_175p26_Skeleton002,unknown,0.0500,TennisBats02,Csv/Point/Table Tennis_01_014.csv,-0.01778,0.27429,-0.03188,2.00,1.75,ambiguous_body_local_swing
747,Table_Tennis_01_014_TennisBats02_205p42_207p42_Skeleton002,unknown,0.0000,TennisBats02,Csv/Point/Table Tennis_01_014.csv,0.11437,0.27318,0.00739,0.00,1.75,weak_motion_evidence
764,Table_Tennis_01_014_TennisBats02_51p33_53p33_Skeleton002,unknown,0.0000,TennisBats02,Csv/Point/Table Tennis_01_014.csv,0.18234,0.26154,0.01038,0.00,1.00,weak_motion_evidence
773,Table_Tennis_01_014_TennisBats02_61p78_63p78_Skeleton002,unknown,0.0000,TennisBats02,Csv/Point/Table Tennis_01_014.csv,0.27453,0.29086,-0.00324,0.00,1.00,weak_motion_evidence
776,Table_Tennis_01_014_TennisBats02_69p29_71p29_Skeleton002,unknown,0.0000,TennisBats02,Csv/Point/Table Tennis_01_014.csv,0.08927,0.25983,0.00715,0.00,1.75,weak_motion_evidence
