idx,episode_id,label,confidence,racket,source_csv,lateral_offset_m,lateral_velocity_window_mps,pre_to_hit_delta_m,score_forehand,score_backhand,reason
13,Table_Tennis_01_005_TennisBats01_53p93_55p93_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_005.csv,0.54424,-0.83459,-0.05869,5.75,0.00,body_local_swing_forehand
14,Table_Tennis_01_005_TennisBats01_55p14_57p14_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_005.csv,0.42240,-1.28145,-0.06887,6.75,0.00,body_local_swing_forehand
15,Table_Tennis_01_005_TennisBats01_56p38_58p38_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_005.csv,0.40011,-1.46033,-0.11648,6.75,0.00,body_local_swing_forehand
16,Table_Tennis_01_005_TennisBats01_72p16_74p16_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_005.csv,0.52630,-0.40379,-0.03801,4.75,0.00,body_local_swing_forehand
17,Table_Tennis_01_005_TennisBats01_73p52_75p52_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_005.csv,0.39182,-1.72800,-0.11220,6.75,0.00,body_local_swing_forehand
18,Table_Tennis_01_005_TennisBats01_74p84_76p84_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_005.csv,0.50611,-2.93212,-0.15960,6.75,0.00,body_local_swing_forehand
19,Table_Tennis_01_005_TennisBats01_76p08_78p08_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_005.csv,0.41559,-1.96187,-0.12380,6.75,0.00,body_local_swing_forehand
20,Table_Tennis_01_005_TennisBats01_77p36_79p36_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_005.csv,0.55625,-2.22737,-0.12702,6.75,0.00,body_local_swing_forehand
21,Table_Tennis_01_005_TennisBats01_88p64_90p64_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_005.csv,0.49339,-1.58513,-0.09012,6.75,0.00,body_local_swing_forehand
22,Table_Tennis_01_005_TennisBats01_90p03_92p03_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_005.csv,0.53023,-2.58009,-0.22116,6.75,0.00,body_local_swing_forehand
23,Table_Tennis_01_005_TennisBats02_12p55_14p55_Skeleton002,backhand,1.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_005.csv,0.16947,0.58570,0.03000,0.00,4.00,body_local_swing_backhand
24,Table_Tennis_01_005_TennisBats02_1p94_3p94_Skeleton002,unknown,0.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_005.csv,0.18798,0.07165,0.00200,0.00,0.00,weak_motion_evidence
25,Table_Tennis_01_005_TennisBats02_21p31_23p31_Skeleton002,backhand,1.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_005.csv,0.19918,0.40143,0.05176,0.00,4.00,body_local_swing_backhand
26,Table_Tennis_01_005_TennisBats02_39p62_41p62_Skeleton002,backhand,1.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_005.csv,0.08684,0.39201,0.01417,0.00,3.75,body_local_swing_backhand
27,Table_Tennis_01_005_TennisBats02_40p91_42p91_Skeleton002,backhand,1.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_005.csv,0.20760,0.39948,0.03206,0.00,4.00,body_local_swing_backhand
28,Table_Tennis_01_005_TennisBats02_50p52_52p52_Skeleton002,unknown,0.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_005.csv,0.11128,0.16609,-0.01127,0.00,1.75,weak_motion_evidence
29,Table_Tennis_01_005_TennisBats02_51p91_53p91_Skeleton002,backhand,1.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_005.csv,0.23422,0.35357,0.04492,0.00,4.00,body_local_swing_backhand
30,Table_Tennis_01_005_TennisBats02_53p19_55p19_Skeleton002,backhand,0.9500,TennisBats02,Csv/Rige Body/Table Tennis_01_005.csv,0.21626,0.35381,0.01825,0.00,3.00,body_local_swing_backhand
31,Table_Tennis_01_005_TennisBats02_54p47_56p47_Skeleton002,unknown,0.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_005.csv,0.19463,0.23486,0.00365,0.00,1.00,weak_motion_evidence
32,Table_Tennis_01_005_TennisBats02_75p43_77p43_Skeleton002,backhand,1.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_005.csv,0.20189,0.45056,0.03819,0.00,4.00,body_local_swing_backhand
33,Table_Tennis_01_005_TennisBats02_77p88_79p88_Skeleton002,backhand,1.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_005.csv,0.11206,0.34972,0.01318,0.00,3.75,body_local_swing_backhand
34,Table_Tennis_01_005_TennisBats02_88p05_90p05_Skeleton002,backhand,0.9500,TennisBats02,Csv/Rige Body/Table Tennis_01_005.csv,0.21341,0.29448,0.02859,0.00,3.00,body_local_swing_backhand
35,Table_Tennis_01_006_TennisBats01_10p72_12p72_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.47665,-2.17669,-0.14493,6.75,0.00,body_local_swing_forehand
36,Table_Tennis_01_006_TennisBats01_12p00_14p00_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.35755,-2.52981,-0.15683,6.75,0.00,body_local_swing_forehand
37,Table_Tennis_01_006_TennisBats01_13p31_15p31_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.40619,-2.39683,-0.13847,6.75,0.00,body_local_swing_forehand
38,Table_Tennis_01_006_TennisBats01_14p69_16p69_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.35138,-1.32616,-0.06049,6.75,0.00,body_local_swing_forehand
39,Table_Tennis_01_006_TennisBats01_15p99_17p99_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.59862,-1.06077,-0.05614,5.75,0.00,body_local_swing_forehand
40,Table_Tennis_01_006_TennisBats01_19p53_21p53_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.32567,-2.22066,-0.13729,6.75,0.00,body_local_swing_forehand
41,Table_Tennis_01_006_TennisBats01_1p43_3p43_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.37864,-1.14640,-0.03376,5.75,0.00,body_local_swing_forehand
42,Table_Tennis_01_006_TennisBats01_22p89_24p89_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.42522,-1.29735,-0.08898,6.75,0.00,body_local_swing_forehand
43,Table_Tennis_01_006_TennisBats01_24p17_26p17_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.35493,-2.12434,-0.15432,6.75,0.00,body_local_swing_forehand
44,Table_Tennis_01_006_TennisBats01_25p69_27p69_Skeleton001,backhand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.71461,0.71730,0.06505,0.75,6.00,body_local_swing_backhand
45,Table_Tennis_01_006_TennisBats01_2p73_4p73_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.35686,-1.84466,-0.08961,6.75,0.00,body_local_swing_forehand
46,Table_Tennis_01_006_TennisBats01_34p54_36p54_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.41992,-1.67151,-0.10362,6.75,0.00,body_local_swing_forehand
47,Table_Tennis_01_006_TennisBats01_35p82_37p82_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.42300,-1.67840,-0.12615,6.75,0.00,body_local_swing_forehand
48,Table_Tennis_01_006_TennisBats01_37p10_39p10_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.35386,-1.62211,-0.09008,6.75,0.00,body_local_swing_forehand
49,Table_Tennis_01_006_TennisBats01_38p37_40p37_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.41054,-1.17733,-0.05831,5.75,0.00,body_local_swing_forehand
50,Table_Tennis_01_006_TennisBats01_39p65_41p65_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.56537,-0.89424,-0.06097,6.75,0.00,body_local_swing_forehand
51,Table_Tennis_01_006_TennisBats01_40p90_42p90_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.41993,-2.19348,-0.13734,6.75,0.00,body_local_swing_forehand
52,Table_Tennis_01_006_TennisBats01_42p15_44p15_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.47031,-1.59155,-0.09822,6.75,0.00,body_local_swing_forehand
53,Table_Tennis_01_006_TennisBats01_43p35_45p35_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.52673,-1.05890,-0.07510,6.75,0.00,body_local_swing_forehand
54,Table_Tennis_01_006_TennisBats01_44p60_46p60_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.29405,-2.60973,-0.16727,6.00,0.00,body_local_swing_forehand
55,Table_Tennis_01_006_TennisBats01_45p80_47p80_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.67147,-0.76693,-0.03705,5.75,0.00,body_local_swing_forehand
56,Table_Tennis_01_006_TennisBats01_47p65_49p65_Skeleton001,unknown,0.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.37035,-0.23742,-0.00944,1.75,0.00,weak_motion_evidence
57,Table_Tennis_01_006_TennisBats01_4p05_6p05_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.31259,-2.07690,-0.12288,6.00,0.00,body_local_swing_forehand
58,Table_Tennis_01_006_TennisBats01_51p05_53p05_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.37408,-1.65865,-0.10158,6.75,0.00,body_local_swing_forehand
59,Table_Tennis_01_006_TennisBats01_52p28_54p28_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.39137,-2.06808,-0.11646,6.75,0.00,body_local_swing_forehand
60,Table_Tennis_01_006_TennisBats01_56p94_58p94_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.61965,-1.17119,-0.04740,5.75,0.00,body_local_swing_forehand
61,Table_Tennis_01_006_TennisBats01_58p22_60p22_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.39250,-1.71068,-0.08573,6.75,0.00,body_local_swing_forehand
62,Table_Tennis_01_006_TennisBats01_59p42_61p42_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.54660,-1.25638,-0.07438,6.75,0.00,body_local_swing_forehand
63,Table_Tennis_01_006_TennisBats01_5p40_7p40_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.40629,-1.77371,-0.11687,6.75,0.00,body_local_swing_forehand
64,Table_Tennis_01_006_TennisBats01_60p63_62p63_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.34667,-2.18379,-0.11744,6.75,0.00,body_local_swing_forehand
65,Table_Tennis_01_006_TennisBats01_6p73_8p73_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.40742,-1.95685,-0.11604,6.75,0.00,body_local_swing_forehand
66,Table_Tennis_01_006_TennisBats01_70p92_72p92_Skeleton001,unknown,0.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.62246,0.00468,0.00875,0.75,0.00,weak_motion_evidence
67,Table_Tennis_01_006_TennisBats01_72p22_74p22_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.40009,-0.58580,-0.01991,3.75,0.00,body_local_swing_forehand
68,Table_Tennis_01_006_TennisBats01_73p49_75p49_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.39805,-1.72625,-0.11394,6.75,0.00,body_local_swing_forehand
69,Table_Tennis_01_006_TennisBats01_74p73_76p73_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.65922,-1.86538,-0.10248,6.75,0.00,body_local_swing_forehand
70,Table_Tennis_01_006_TennisBats01_75p97_77p97_Skeleton001,forehand,0.9000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.35975,-0.50357,0.01129,2.75,0.00,body_local_swing_forehand
71,Table_Tennis_01_006_TennisBats01_80p14_82p14_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.54245,-1.11745,-0.08319,6.75,0.00,body_local_swing_forehand
72,Table_Tennis_01_006_TennisBats01_8p12_10p12_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.53974,-0.87825,-0.06699,6.75,0.00,body_local_swing_forehand
73,Table_Tennis_01_006_TennisBats01_93p40_95p40_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.34770,-1.74815,-0.10921,6.75,0.00,body_local_swing_forehand
74,Table_Tennis_01_006_TennisBats01_94p69_96p69_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.43494,-1.33380,-0.07803,6.75,0.00,body_local_swing_forehand
75,Table_Tennis_01_006_TennisBats01_95p96_97p96_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.37506,-1.64834,-0.11160,6.75,0.00,body_local_swing_forehand
76,Table_Tennis_01_006_TennisBats01_97p27_99p27_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.24939,-2.47174,-0.13732,6.00,0.00,body_local_swing_forehand
77,Table_Tennis_01_006_TennisBats01_9p38_11p38_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_006.csv,0.29844,-2.01626,-0.11231,6.00,0.00,body_local_swing_forehand
78,Table_Tennis_01_006_TennisBats02_0p69_2p69_Skeleton002,unknown,0.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.28849,0.23155,0.00881,0.00,1.00,weak_motion_evidence
79,Table_Tennis_01_006_TennisBats02_11p26_13p26_Skeleton002,unknown,0.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.11350,0.20005,-0.00988,0.00,1.75,weak_motion_evidence
80,Table_Tennis_01_006_TennisBats02_12p54_14p54_Skeleton002,backhand,1.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.17966,0.44400,0.03633,0.00,4.00,body_local_swing_backhand
81,Table_Tennis_01_006_TennisBats02_13p93_15p93_Skeleton002,backhand,1.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.14192,0.86658,0.06642,0.00,6.75,body_local_swing_backhand
82,Table_Tennis_01_006_TennisBats02_15p29_17p29_Skeleton002,backhand,0.9500,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.21362,0.53869,0.02181,0.00,3.00,body_local_swing_backhand
83,Table_Tennis_01_006_TennisBats02_21p91_23p91_Skeleton002,backhand,1.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.05450,0.84911,0.02128,0.00,4.75,body_local_swing_backhand
84,Table_Tennis_01_006_TennisBats02_23p47_25p47_Skeleton002,backhand,1.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.13560,0.43415,0.02848,0.00,4.75,body_local_swing_backhand
85,Table_Tennis_01_006_TennisBats02_26p27_28p27_Skeleton002,backhand,1.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.17021,0.68567,0.02457,0.00,4.00,body_local_swing_backhand
86,Table_Tennis_01_006_TennisBats02_2p06_4p06_Skeleton002,backhand,1.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.25541,1.10488,0.07158,0.00,6.00,body_local_swing_backhand
87,Table_Tennis_01_006_TennisBats02_33p88_35p88_Skeleton002,backhand,1.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.13773,0.63484,0.04737,0.00,4.75,body_local_swing_backhand
88,Table_Tennis_01_006_TennisBats02_35p14_37p14_Skeleton002,backhand,0.9500,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.21147,0.34752,0.01443,0.00,3.00,body_local_swing_backhand
89,Table_Tennis_01_006_TennisBats02_36p41_38p41_Skeleton002,backhand,0.7500,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.18842,0.40971,0.01098,0.00,2.00,body_local_swing_backhand
90,Table_Tennis_01_006_TennisBats02_37p71_39p71_Skeleton002,unknown,0.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.27464,0.04139,-0.00668,0.00,0.00,weak_motion_evidence
91,Table_Tennis_01_006_TennisBats02_38p94_40p94_Skeleton002,unknown,0.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.06730,-0.11793,-0.01898,1.00,0.75,weak_motion_evidence
92,Table_Tennis_01_006_TennisBats02_3p28_5p28_Skeleton002,backhand,1.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.19709,0.86233,0.03211,0.00,5.00,body_local_swing_backhand
93,Table_Tennis_01_006_TennisBats02_40p22_42p22_Skeleton002,backhand,1.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.12736,0.46268,0.03470,0.00,4.75,body_local_swing_backhand
94,Table_Tennis_01_006_TennisBats02_41p46_43p46_Skeleton002,backhand,1.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.16201,0.47184,0.02962,0.00,4.00,body_local_swing_backhand
95,Table_Tennis_01_006_TennisBats02_42p66_44p66_Skeleton002,unknown,0.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.18792,0.18393,0.00709,0.00,1.00,weak_motion_evidence
96,Table_Tennis_01_006_TennisBats02_43p91_45p91_Skeleton002,backhand,1.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.11604,0.31117,0.01335,0.00,3.75,body_local_swing_backhand
97,Table_Tennis_01_006_TennisBats02_45p18_47p18_Skeleton002,backhand,0.9000,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.15830,0.35114,-0.00756,0.00,2.75,body_local_swing_backhand
98,Table_Tennis_01_006_TennisBats02_4p66_6p66_Skeleton002,backhand,1.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.26450,0.75990,0.03753,0.00,5.00,body_local_swing_backhand
99,Table_Tennis_01_006_TennisBats02_50p44_52p44_Skeleton002,backhand,1.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.14198,1.38573,0.10437,0.00,6.75,body_local_swing_backhand
100,Table_Tennis_01_006_TennisBats02_51p67_53p67_Skeleton002,backhand,1.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.22833,0.56538,0.03193,0.00,4.00,body_local_swing_backhand
101,Table_Tennis_01_006_TennisBats02_56p24_58p24_Skeleton002,unknown,0.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.12343,0.09370,-0.00588,0.00,0.75,weak_motion_evidence
102,Table_Tennis_01_006_TennisBats02_57p53_59p53_Skeleton002,backhand,1.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.10930,0.52376,0.02923,0.00,4.75,body_local_swing_backhand
103,Table_Tennis_01_006_TennisBats02_58p74_60p74_Skeleton002,backhand,0.9500,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.18880,0.32089,0.01225,0.00,3.00,body_local_swing_backhand
104,Table_Tennis_01_006_TennisBats02_59p95_61p95_Skeleton002,backhand,1.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.11659,0.37238,0.02172,0.00,3.75,body_local_swing_backhand
105,Table_Tennis_01_006_TennisBats02_5p96_7p96_Skeleton002,backhand,1.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.11320,0.30863,0.01771,0.00,3.75,body_local_swing_backhand
106,Table_Tennis_01_006_TennisBats02_71p51_73p51_Skeleton002,backhand,1.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.09089,0.63237,0.04199,0.00,4.75,body_local_swing_backhand
107,Table_Tennis_01_006_TennisBats02_72p81_74p81_Skeleton002,backhand,1.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.17018,0.38112,0.03397,0.00,4.00,body_local_swing_backhand
108,Table_Tennis_01_006_TennisBats02_74p06_76p06_Skeleton002,backhand,1.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.18073,0.61186,0.04666,0.00,4.00,body_local_swing_backhand
109,Table_Tennis_01_006_TennisBats02_75p33_77p33_Skeleton002,backhand,1.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.14148,0.59906,0.01689,0.00,3.75,body_local_swing_backhand
110,Table_Tennis_01_006_TennisBats02_79p19_81p19_Skeleton002,backhand,1.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.01159,0.59709,0.01646,0.00,3.75,body_local_swing_backhand
111,Table_Tennis_01_006_TennisBats02_7p34_9p34_Skeleton002,backhand,0.7500,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.21545,0.27319,0.02253,0.00,2.00,body_local_swing_backhand
112,Table_Tennis_01_006_TennisBats02_8p69_10p69_Skeleton002,backhand,1.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.26028,0.48736,0.03541,0.00,4.00,body_local_swing_backhand
113,Table_Tennis_01_006_TennisBats02_94p02_96p02_Skeleton002,backhand,1.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.14521,0.33608,0.02852,0.00,4.75,body_local_swing_backhand
114,Table_Tennis_01_006_TennisBats02_95p25_97p25_Skeleton002,backhand,1.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.14273,0.31720,0.01460,0.00,3.75,body_local_swing_backhand
115,Table_Tennis_01_006_TennisBats02_96p54_98p54_Skeleton002,backhand,1.0000,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.24317,0.71458,0.05512,0.00,5.00,body_local_swing_backhand
116,Table_Tennis_01_006_TennisBats02_9p97_11p97_Skeleton002,backhand,0.9500,TennisBats02,Csv/Rige Body/Table Tennis_01_006.csv,0.21008,0.47277,0.01805,0.00,3.00,body_local_swing_backhand
117,Table_Tennis_01_007_TennisBats01_21p17_23p17_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_007.csv,0.32775,-1.45073,-0.09876,6.75,0.00,body_local_swing_forehand
118,Table_Tennis_01_007_TennisBats01_22p42_24p42_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_007.csv,0.26827,-1.79645,-0.09152,6.00,0.00,body_local_swing_forehand
119,Table_Tennis_01_007_TennisBats01_23p64_25p64_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_007.csv,0.44114,-1.74179,-0.11999,6.75,0.00,body_local_swing_forehand
120,Table_Tennis_01_007_TennisBats01_26p02_28p02_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_007.csv,0.39300,-1.94422,-0.13852,6.75,0.00,body_local_swing_forehand
121,Table_Tennis_01_007_TennisBats01_27p29_29p29_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_007.csv,0.58562,-1.64948,-0.10932,6.75,0.00,body_local_swing_forehand
122,Table_Tennis_01_007_TennisBats01_28p55_30p55_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_007.csv,0.33343,-2.29894,-0.10345,6.75,0.00,body_local_swing_forehand
123,Table_Tennis_01_007_TennisBats01_29p83_31p83_Skeleton001,forehand,1.0000,TennisBats01,Csv/Rige Body/Table Tennis_01_007.csv,0.40122,-1.70976,-0.11567,6.75,0.00,body_local_swing_forehand
